Date,Rainfall
2002-01-01,20.0285
2002-02-01,21.6108
2002-03-01,58.0542
2002-04-01,60.3292
2002-05-01,209.927
2002-06-01,245.751
2002-07-01,338.752
2002-08-01,297.607
2002-09-01,260.997
2002-10-01,222.83
2002-11-01,131.848
2002-12-01,244.606
2003-01-01,34.9598
2003-02-01,31.1657
2003-03-01,45.2812
2003-04-01,61.8224
2003-05-01,166.842
2003-06-01,195.692
2003-07-01,177.339
2003-08-01,331.326
2003-09-01,323.851
2003-10-01,141.691
2003-11-01,65.44
2003-12-01,25.8375
2004-01-01,63.1595
2004-02-01,34.795
2004-03-01,28.3406
2004-04-01,83.6009
2004-05-01,179.468
2004-06-01,196.401
2004-07-01,330.533
2004-08-01,240.816
2004-09-01,202.711
2004-10-01,124.673
2004-11-01,104.94
2004-12-01,29.0932
2005-01-01,17.6684
2005-02-01,17.5921
2005-03-01,46.8319
2005-04-01,58.298
2005-05-01,159.018
2005-06-01,301.711
2005-07-01,298.041
2005-08-01,302.94
2005-09-01,334.111
2005-10-01,123.213
2005-11-01,269.098
2005-12-01,90.7911
2006-01-01,19.2989
2006-02-01,27.6812
2006-03-01,49.0977
2006-04-01,95.87
2006-05-01,130.673
2006-06-01,161.968
2006-07-01,292.339
2006-08-01,262.601
2006-09-01,199.604
2006-10-01,331.972
2006-11-01,154.444
2006-12-01,26.1274
2007-01-01,22.5017
2007-02-01,24.0384
2007-03-01,37.4312
2007-04-01,79.6929
2007-05-01,157.212
2007-06-01,303.573
2007-07-01,237.151
2007-08-01,275.663
2007-09-01,237.357
2007-10-01,371.163
2007-11-01,140.922
2007-12-01,33.6849
2008-01-01,26.5981
2008-02-01,29.5154
2008-03-01,43.185
2008-04-01,84.5471
2008-05-01,155.263
2008-06-01,248.361
2008-07-01,275.541
2008-08-01,287.986
2008-09-01,267.792
2008-10-01,300.932
2008-11-01,212.103
2008-12-01,81.8229
2009-01-01,13.3308
2009-02-01,14.991
2009-03-01,61.4003
2009-04-01,88.3187
2009-05-01,198.963
2009-06-01,197.629
2009-07-01,264.549
2009-08-01,209.888
2009-09-01,276.696
2009-10-01,226.089
2009-11-01,110.196
2009-12-01,69.4662
2010-01-01,119.347
2010-02-01,24.6918
2010-03-01,17.6805
2010-04-01,76.4054
2010-05-01,129.848
2010-06-01,170.972
2010-07-01,231.421
2010-08-01,258.267
2010-09-01,208.884
2010-10-01,210.198
2010-11-01,105.954
2010-12-01,70.3632
2011-01-01,28.6263
2011-02-01,20.9222
2011-03-01,59.1605
2011-04-01,62.3041
2011-05-01,155.895
2011-06-01,276.433
2011-07-01,253.884
2011-08-01,258.946
2011-09-01,338.789
2011-10-01,308.646
2011-11-01,206.133
2011-12-01,65.3421
2012-01-01,63.5504
2012-02-01,26.6722
2012-03-01,45.582
2012-04-01,59.5025
2012-05-01,232.993
2012-06-01,234.206
2012-07-01,277.347
2012-08-01,298.421
2012-09-01,212.025
2012-10-01,269.287
2012-11-01,397.858
2012-12-01,54.3562
2013-01-01,61.0331
2013-02-01,45.2822
2013-03-01,58.6912
2013-04-01,72.3164
2013-05-01,150.656
2013-06-01,182.905
2013-07-01,259.541
2013-08-01,274.068
2013-09-01,283.283
2013-10-01,240.616
2013-11-01,177.439
2013-12-01,282.366
2014-01-01,20.1041
2014-02-01,14.8243
2014-03-01,30.491
2014-04-01,67.5097
2014-05-01,100.506
2014-06-01,232.4
2014-07-01,297.145
2014-08-01,226.706
2014-09-01,272.555
2014-10-01,173.593
2014-11-01,166.37
2014-12-01,60.7189
2015-01-01,39.6747
2015-02-01,18.5884
2015-03-01,32.7659
2015-04-01,48.371
2015-05-01,106.235
2015-06-01,194.546
2015-07-01,265.695
2015-08-01,279.796
2015-09-01,270.979
2015-10-01,210.218
2015-11-01,177.599
2015-12-01,93.3196
2016-01-01,74.73571428571428
2016-02-01,19.62307692307693
2016-03-01,19.6
2016-04-01,119.57272727272726
2016-05-01,159.92666666666668
2016-06-01,149.57333333333332
2016-07-01,216.08666666666667
2016-08-01,272.76666666666665
2016-09-01,343.12
2016-10-01,271.02000000000004
2016-11-01,203.5133333333333
2016-12-01,329.9785714285714
2017-01-01,98.29333333333334
2017-02-01,44.99333333333333
2017-03-01,62.42666666666667
2017-04-01,82.77333333333333
2017-05-01,152.07999999999998
2017-06-01,209.2133333333333
2017-07-01,349.5466666666667
2017-08-01,301.26666666666665
2017-09-01,230.19333333333333
2017-10-01,327.76
2017-11-01,311.34666666666664
2017-12-01,101.71333333333334
2018-01-01,43.15714285714286
2018-02-01,24.35384615384616
2018-03-01,36.9
2018-04-01,92.43333333333334
2018-05-01,144.22
2018-06-01,219.60666666666663
2018-07-01,346.42
2018-08-01,252.84666666666664
2018-09-01,240.57333333333327
2018-10-01,186.84666666666664
2018-11-01,186.63333333333333
2018-12-01,241.42666666666668
2019-01-01,104.75
2019-02-01,14.5
2019-03-01,32.99230769230769
2019-04-01,92.21666666666664
2019-05-01,153.07999999999998
2019-06-01,199.25714285714284
2019-07-01,171.09333333333333
2019-08-01,265.9733333333333
2019-09-01,284.74
2019-10-01,300.76666666666665
2019-11-01,163.66666666666666
2019-12-01,33.554545454545455
2020-01-01,56.39166666666667
2020-02-01,25.23846153846154
2020-03-01,60.7
2020-04-01,116.97142857142858
2020-05-01,103.46
2020-06-01,140.23333333333332
2020-07-01,145.84
2020-08-01,310.6333333333333
2020-09-01,283.4
2020-10-01,612.2733333333333
2020-11-01,190.72
2020-12-01,90.18571428571428
2021-01-01,25.984615384615385
2021-02-01,46.975
2021-03-01,31.79230769230769
2021-04-01,123.65333333333334
2021-05-01,134.86666666666667
2021-06-01,171.10666666666663
2021-07-01,222.16
2021-08-01,216.47333333333333
2021-09-01,374.2533333333333
2021-10-01,450.58
2021-11-01,268.26666666666665
2021-12-01,109.2